High Level Relay Cat,Specific Ind,drug_class_name,drug_group_name,indication,High Level Relay Cat
female urogenital diseases|vascular diseases|urologic diseases,"Hypertension, Renovascular",Other Anti-hypertensives,Hypertension,Hypertension,female urogenital diseases|vascular diseases|urologic diseases
thyroid diseases,Hyperthyroidism,Thyroid Disorder Treatments,Thyroid Disorders,Hyperthyroidism,thyroid diseases
metabolic diseases,Hypertriglyceridemia,Other Lipid-modifying Agents,Lipid Disorders,Hypertriglyceridemia,metabolic diseases
pathologic processes,Hyperuricemia,,,,pathologic processes
gonadal disorders,Hypogonadism,,,,gonadal disorders
parathyroid diseases,Hypoparathyroidism,,,,parathyroid diseases
skin diseases,Hypopigmentation,,,,skin diseases
central nervous system diseases|pituitary diseases,Hypopituitarism,,,,central nervous system diseases|pituitary diseases
vascular diseases,Hypotension,,,,vascular diseases
central nervous system diseases,Hypothalamic Diseases,,,,central nervous system diseases
skin diseases,Hypotrichosis,,,,skin diseases
central nervous system diseases|vascular diseases,"Hypoxia-Ischemia, Brain",,,,central nervous system diseases|vascular diseases
central nervous system diseases,"Hypoxia, Brain",,,,central nervous system diseases
lung diseases,Idiopathic Interstitial Pneumonias,,,,lung diseases
lung diseases,Idiopathic Pulmonary Fibrosis,Pulmonary Fibrosis Treatments,Pulmonary Fibrosis,Idiopathic Pulmonary Fibrosis,lung diseases
gastrointestinal diseases,Ileus,,,,gastrointestinal diseases
immunologic deficiency syndromes,Immunologic Deficiency Syndromes,,,,immunologic deficiency syndromes
immunoproliferative disorders,Immunoproliferative Disorders,,,,immunoproliferative disorders
bacterial infections|infection|skin diseases,Impetigo,,,,bacterial infections|infection|skin diseases
impulse control disorders,Impulse Control Disorders,,,,impulse control disorders
"infant, newborn, diseases","Infant, Premature, Diseases",,,,"infant, newborn, diseases"
infection,Infection,,,,infection
"female urogenital diseases|genital diseases, male",Infertility,,,,"female urogenital diseases|genital diseases, male"
pathologic processes,Inflammation,Immunomodulators - Rheumatic Diseases,Rheumatic Diseases,inflammatory disease,pathologic processes
gastrointestinal diseases,Inflammatory Bowel Diseases,Immunomodulators - IBD,Inflammatory Bowel Disease,inflammatory bowel disease,gastrointestinal diseases
rna virus infections,Influenza in Birds,Other Anti-viral Agents,Other Viral Infections,Influenza virus infection,rna virus infections
rna virus infections|respiratory tract infections,"Influenza, Human",Other Anti-viral Agents,Other Viral Infections,Influenza virus infection,rna virus infections|respiratory tract infections
metabolic diseases,Insulin Resistance,,,,metabolic diseases
neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms,Insulinoma,,,,neoplasms by histologic type|neoplasms by site|digestive system neoplasms|pancreatic diseases|endocrine gland neoplasms
neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood,Intellectual Disability,,,,neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood
vascular diseases|signs and symptoms,Intermittent Claudication,,,,vascular diseases|signs and symptoms
gastrointestinal diseases,Intestinal Diseases,,,,gastrointestinal diseases
digestive system neoplasms|gastrointestinal diseases|neoplasms by site,Intestinal Neoplasms,,,,digestive system neoplasms|gastrointestinal diseases|neoplasms by site
gastrointestinal diseases,Intestinal Obstruction,,,,gastrointestinal diseases
gastrointestinal diseases,Intestinal Pseudo-Obstruction,,,,gastrointestinal diseases
infection,Intraabdominal Infections,,,,infection
central nervous system diseases|vascular diseases,Intracranial Arterial Diseases,,,,central nervous system diseases|vascular diseases
vascular diseases|central nervous system diseases,Intracranial Arteriosclerosis,,,,vascular diseases|central nervous system diseases
"central nervous system diseases|vascular diseases|craniocerebral trauma|trauma, nervous system|pathologic processes","Intracranial Hemorrhage, Traumatic",,,,"central nervous system diseases|vascular diseases|craniocerebral trauma|trauma, nervous system|pathologic processes"
central nervous system diseases|vascular diseases|pathologic processes,Intracranial Hemorrhages,,,,central nervous system diseases|vascular diseases|pathologic processes
gastrointestinal diseases,Irritable Bowel Syndrome,,,,gastrointestinal diseases
pathologic processes,Ischemia,Other Cardiology Agents,Other Cardiovascular Disorders,Ischemic stroke ,pathologic processes
joint diseases,Joint Diseases,,,,joint diseases
pathologic processes|connective tissue diseases,Keloid,,,,pathologic processes|connective tissue diseases
corneal diseases,Keratitis,,,,corneal diseases
conjunctival diseases|corneal diseases,Keratoconjunctivitis,,,,conjunctival diseases|corneal diseases
conjunctival diseases|corneal diseases|lacrimal apparatus diseases,Keratoconjunctivitis Sicca,,,,conjunctival diseases|corneal diseases|lacrimal apparatus diseases
skin diseases,Keratosis,,,,skin diseases
skin diseases|precancerous conditions,"Keratosis, Actinic",,,,skin diseases|precancerous conditions
female urogenital diseases|urologic diseases,Kidney Diseases,,,,female urogenital diseases|urologic diseases
female urogenital diseases|urologic diseases,"Kidney Failure, Chronic",,,,female urogenital diseases|urologic diseases
female urogenital diseases|urologic diseases|neoplasms by site|urogenital neoplasms,Kidney Neoplasms,,,,female urogenital diseases|urologic diseases|neoplasms by site|urogenital neoplasms
ear diseases,Labyrinth Diseases,,,,ear diseases
lacerations,Lacerations,,,,lacerations
lacrimal apparatus diseases,Lacrimal Apparatus Diseases,,,,lacrimal apparatus diseases
autoimmune diseases|autoimmune diseases of the nervous system|neoplasms by site|paraneoplastic syndromes|neurodegenerative diseases|neuromuscular diseases|nervous system neoplasms,Lambert-Eaton Myasthenic Syndrome,,,,autoimmune diseases|autoimmune diseases of the nervous system|neoplasms by site|paraneoplastic syndromes|neurodegenerative diseases|neuromuscular diseases|nervous system neoplasms
gastrointestinal diseases|pharyngeal diseases|laryngeal diseases,Laryngopharyngeal Reflux,,,,gastrointestinal diseases|pharyngeal diseases|laryngeal diseases
skin diseases,Leg Ulcer,,,,skin diseases
neoplasms by histologic type,Leiomyoma,,,,neoplasms by histologic type
neoplasms by histologic type,Leiomyosarcoma,,,,neoplasms by histologic type
lens diseases,Lens Diseases,,,,lens diseases
rna virus infections,Lentivirus Infections,,,,rna virus infections
neoplasms by histologic type,Leukemia,,,,neoplasms by histologic type
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,"Leukemia, B-Cell",,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
neoplasms by histologic type,"Leukemia, Basophilic, Acute",,,,neoplasms by histologic type
neoplasms by histologic type,"Leukemia, Eosinophilic, Acute",,,,neoplasms by histologic type
hematologic diseases|neoplasms by histologic type,"Leukemia, Erythroblastic, Acute",,,,hematologic diseases|neoplasms by histologic type
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,"Leukemia, Hairy Cell",,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,"Leukemia, Large Granular Lymphocytic",,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,"Leukemia, Lymphocytic, Chronic, B-Cell",,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,"Leukemia, Lymphoid",,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
neoplasms by histologic type|skin diseases|connective tissue diseases,"Leukemia, Mast-Cell",,,,neoplasms by histologic type|skin diseases|connective tissue diseases
neoplasms by histologic type,"Leukemia, Megakaryoblastic, Acute",,,,neoplasms by histologic type
neoplasms by histologic type,"Leukemia, Monocytic, Acute",,,,neoplasms by histologic type
hematologic diseases|neoplasms by histologic type,"Leukemia, Myelogenous, Chronic, BCR-ABL Positive",,,,hematologic diseases|neoplasms by histologic type
neoplasms by histologic type,"Leukemia, Myeloid",,,,neoplasms by histologic type
neoplasms by histologic type,"Leukemia, Myeloid, Acute",,,,neoplasms by histologic type
hematologic diseases|neoplasms by histologic type,"Leukemia, Myeloid, Chronic, Atypical, BCR-ABL Negative",,,,hematologic diseases|neoplasms by histologic type
neoplasms by histologic type,"Leukemia, Myelomonocytic, Acute",,,,neoplasms by histologic type
hematologic diseases|neoplasms by histologic type,"Leukemia, Myelomonocytic, Chronic",,,,hematologic diseases|neoplasms by histologic type
hematologic diseases|neoplasms by histologic type,"Leukemia, Myelomonocytic, Juvenile",,,,hematologic diseases|neoplasms by histologic type
hematologic diseases,"Leukemia, Neutrophilic, Chronic",,,,hematologic diseases
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,"Leukemia, Prolymphocytic",,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
hematologic diseases,Leukocyte Disorders,,,,hematologic diseases
central nervous system diseases,Leukoencephalopathies,,,,central nervous system diseases
hematologic diseases,Leukopenia,,,,hematologic diseases
"metabolic diseases|genetic diseases, inborn|neoplastic syndromes, hereditary",Li-Fraumeni Syndrome,,,,"metabolic diseases|genetic diseases, inborn|neoplastic syndromes, hereditary"
"skin diseases, parasitic|skin diseases|infection",Lice Infestations,,,,"skin diseases, parasitic|skin diseases|infection"
mouth diseases,Lip Diseases,,,,mouth diseases
metabolic diseases,Lipid Metabolism Disorders,Other Lipid-modifying Agents,Lipid Disorders,Lipid disorders,metabolic diseases
"genetic diseases, inborn|metabolic diseases","Lipid Metabolism, Inborn Errors",Other Lipid-modifying Agents,Lipid Disorders,Lipid disorders,"genetic diseases, inborn|metabolic diseases"
"genetic diseases, inborn|metabolic diseases",Lipidoses,Other Lipid-modifying Agents,Lipid Disorders,Lipid disorders,"genetic diseases, inborn|metabolic diseases"
neoplasms by histologic type,Liposarcoma,,,,neoplasms by histologic type
liver diseases,Liver Cirrhosis,,,,liver diseases
alcohol-related disorders|liver diseases,"Liver Diseases, Alcoholic",Other Lower GI,Other Lower GI Disorders,Liver Disease,alcohol-related disorders|liver diseases
liver diseases,Liver Failure,Other Lower GI,Other Lower GI Disorders,Liver Disease,liver diseases
liver diseases,"Liver Failure, Acute",Other Lower GI,Other Lower GI Disorders,Liver Disease,liver diseases
digestive system neoplasms|liver diseases|neoplasms by site,Liver Neoplasms,,,,digestive system neoplasms|liver diseases|neoplasms by site
neurologic manifestations|signs and symptoms,Low Back Pain,,,,neurologic manifestations|signs and symptoms
signs and symptoms,Lower Urinary Tract Symptoms,,,,signs and symptoms
lung diseases|mycoses|respiratory tract infections,"Lung Diseases, Fungal",,,,lung diseases|mycoses|respiratory tract infections
lung diseases,"Lung Diseases, Interstitial",,,,lung diseases
lung diseases,"Lung Diseases, Obstructive",,,,lung diseases
lung diseases|thoracic injuries,Lung Injury,,,,lung diseases|thoracic injuries
lung diseases|neoplasms by site|respiratory tract neoplasms,Lung Neoplasms,,,,lung diseases|neoplasms by site|respiratory tract neoplasms
connective tissue diseases|skin diseases,"Lupus Erythematosus, Cutaneous",Other Rheumatic Disease Agents,Rheumatic Diseases,Lupus,connective tissue diseases|skin diseases
connective tissue diseases|skin diseases,"Lupus Erythematosus, Discoid",Other Rheumatic Disease Agents,Rheumatic Diseases,Lupus,connective tissue diseases|skin diseases
autoimmune diseases|connective tissue diseases,"Lupus Erythematosus, Systemic",Other Rheumatic Disease Agents,Rheumatic Diseases,Lupus,autoimmune diseases|connective tissue diseases
bacterial infections|arbovirus infections|protozoan infections,Lyme Disease,,,,bacterial infections|arbovirus infections|protozoan infections
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,Lymphangioleiomyomatosis,,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases,Lymphangiomyoma,,,,immunoproliferative disorders|neoplasms by histologic type|lymphatic diseases
congenital abnormalities|lymphatic diseases,Lymphatic Abnormalities,,,,congenital abnormalities|lymphatic diseases
neoplasms by histologic type,Lymphatic Vessel Tumors,,,,neoplasms by histologic type
lymphatic diseases,Lymphedema,,,,lymphatic diseases
lymphatic diseases,"Lymphohistiocytosis, Hemophagocytic",,,,lymphatic diseases
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,Lymphoma,,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, B-Cell",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, B-Cell, Marginal Zone",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, Follicular",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, Large B-Cell, Diffuse",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, Large-Cell, Immunoblastic",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, Mantle-Cell",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, Non-Hodgkin",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, T-Cell",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, T-Cell, Cutaneous",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,"Lymphoma, T-Cell, Peripheral",,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type|precancerous conditions,Lymphomatoid Granulomatosis,,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type|precancerous conditions
hematologic diseases|immunologic deficiency syndromes,Lymphopenia,,,,hematologic diseases|immunologic deficiency syndromes
immunoproliferative disorders|lymphatic diseases,Lymphoproliferative Disorders,,,,immunoproliferative disorders|lymphatic diseases
"genetic diseases, inborn|metabolic diseases",Lysosomal Storage Diseases,,,,"genetic diseases, inborn|metabolic diseases"
"central nervous system diseases|metabolic diseases|genetic diseases, inborn","Lysosomal Storage Diseases, Nervous System",,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn"
retinal diseases,Macular Degeneration,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Macular Edema,retinal diseases
retinal diseases,Macular Edema,Other Ophthalmology Treatments,Other Ophthalmic Disorders,Macular Edema,retinal diseases
gastrointestinal diseases|metabolic diseases,Malabsorption Syndromes,,,,gastrointestinal diseases|metabolic diseases
protozoan infections,Malaria,Other Antibiotics,Bacterial Infection,Malaria,protozoan infections
protozoan infections,"Malaria, Falciparum",Other Antibiotics,Bacterial Infection,Malaria,protozoan infections
protozoan infections,"Malaria, Vivax",Other Antibiotics,Bacterial Infection,Malaria,protozoan infections
marijuana abuse,Marijuana Abuse,,,,marijuana abuse
neoplasms by histologic type|skin diseases|connective tissue diseases,Mast-Cell Sarcoma,,,,neoplasms by histologic type|skin diseases|connective tissue diseases
neoplasms by histologic type|skin diseases|connective tissue diseases,Mastocytosis,,,,neoplasms by histologic type|skin diseases|connective tissue diseases
neoplasms by histologic type|skin diseases|connective tissue diseases,"Mastocytosis, Systemic",,,,neoplasms by histologic type|skin diseases|connective tissue diseases
rna virus infections,Measles,Pediatric Vaccines,Vaccine Products,measles / rubella,rna virus infections
neoplasms by histologic type,Medulloblastoma,,,,neoplasms by histologic type
neoplasms by histologic type,Melanoma,Other Targeted Biologics,Biologics,Melanoma,neoplasms by histologic type
"central nervous system diseases|metabolic diseases|genetic diseases, inborn|vascular diseases|muscular diseases|neuromuscular diseases",MELAS Syndrome,,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn|vascular diseases|muscular diseases|neuromuscular diseases"
neurologic manifestations|signs and symptoms,Memory Disorders,,,,neurologic manifestations|signs and symptoms
ear diseases,Meniere Disease,,,,ear diseases
central nervous system infections|central nervous system diseases,Meningitis,,,,central nervous system infections|central nervous system diseases
female urogenital diseases|gonadal disorders,"Menopause, Premature",,,,female urogenital diseases|gonadal disorders
pathologic processes,Menstruation Disturbances,,,,pathologic processes
"genetic diseases, inborn|neurodegenerative diseases|neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood","Mental Retardation, X-Linked",,,,"genetic diseases, inborn|neurodegenerative diseases|neurologic manifestations|signs and symptoms|mental disorders diagnosed in childhood"
neoplasms by histologic type,Mesenchymoma,,,,neoplasms by histologic type
neoplasms by histologic type,Mesothelioma,,,,neoplasms by histologic type
metabolic diseases,Metabolic Diseases,,,,metabolic diseases
metabolic diseases,Metabolic Syndrome X,,,,metabolic diseases
"genetic diseases, inborn|metabolic diseases","Metabolism, Inborn Errors",,,,"genetic diseases, inborn|metabolic diseases"
pathologic processes,Metaplasia,,,,pathologic processes
central nervous system diseases,Migraine Disorders,Other Migraine Treatments,Migraine,Migraine,central nervous system diseases
"delirium, dementia, amnestic, cognitive disorders",Mild Cognitive Impairment,,,,"delirium, dementia, amnestic, cognitive disorders"
metabolic diseases,Mitochondrial Diseases,,,,metabolic diseases
central nervous system diseases|metabolic diseases|muscular diseases|neuromuscular diseases,Mitochondrial Encephalomyopathies,,,,central nervous system diseases|metabolic diseases|muscular diseases|neuromuscular diseases
metabolic diseases|muscular diseases|neuromuscular diseases,Mitochondrial Myopathies,,,,metabolic diseases|muscular diseases|neuromuscular diseases
rna virus infections,Mononegavirales Infections,,,,rna virus infections
mood disorders,Mood Disorders,,,,mood disorders
rna virus infections,Morbillivirus Infections,,,,rna virus infections
neurodegenerative diseases|neuromuscular diseases,Motor Neuron Disease,,,,neurodegenerative diseases|neuromuscular diseases
neoplasms by site|mouth diseases,Mouth Neoplasms,,,,neoplasms by site|mouth diseases
mouth diseases|tooth diseases,"Mouth, Edentulous",,,,mouth diseases|tooth diseases
central nervous system diseases,Movement Disorders,,,,central nervous system diseases
lymphatic diseases|vascular diseases|skin diseases,Mucocutaneous Lymph Node Syndrome,,,,lymphatic diseases|vascular diseases|skin diseases
hematologic diseases|vascular diseases|immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,Multiple Myeloma,Other Targeted Biologics,Biologics,Multiple Myeloma,hematologic diseases|vascular diseases|immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases,Multiple Sclerosis,Immunomodulators - MS,Multiple Sclerosis,Multiple Sclerosis,autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases
autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases,"Multiple Sclerosis, Chronic Progressive",Immunomodulators - MS,Multiple Sclerosis,Multiple Sclerosis,autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases
autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases,"Multiple Sclerosis, Relapsing-Remitting",Immunomodulators - MS,Multiple Sclerosis,Multiple Sclerosis,autoimmune diseases|autoimmune diseases of the nervous system|central nervous system diseases|demyelinating diseases
muscular diseases|neurologic manifestations|pathologic processes|signs and symptoms,Muscle Weakness,Other Musculoskeletal,Other Musculoskeletal Disorders,muscle wasting,muscular diseases|neurologic manifestations|pathologic processes|signs and symptoms
neurodegenerative diseases|neuromuscular diseases|central nervous system diseases,"Muscular Atrophy, Spinal",Other Supportive Care,Other Supportive Care,Muscle Atrophy,neurodegenerative diseases|neuromuscular diseases|central nervous system diseases
muscular diseases|neuromuscular diseases,"Muscular Disorders, Atrophic",Other Supportive Care,Other Supportive Care,Muscle Atrophy,muscular diseases|neuromuscular diseases
"genetic diseases, inborn|muscular diseases|neuromuscular diseases",Muscular Dystrophies,Other Supportive Care,Other Supportive Care,Muscle Atrophy,"genetic diseases, inborn|muscular diseases|neuromuscular diseases"
"genetic diseases, inborn|muscular diseases|neuromuscular diseases","Muscular Dystrophy, Duchenne",,,,"genetic diseases, inborn|muscular diseases|neuromuscular diseases"
congenital abnormalities|musculoskeletal abnormalities,Musculoskeletal Abnormalities,,,,congenital abnormalities|musculoskeletal abnormalities
neurologic manifestations|signs and symptoms,Musculoskeletal Pain,,,,neurologic manifestations|signs and symptoms
bacterial infections,Mycobacterium Infections,,,,bacterial infections
mycoses,Mycoses,,,,mycoses
immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type,Mycosis Fungoides,,,,immunoproliferative disorders|lymphatic diseases|neoplasms by histologic type
central nervous system infections|central nervous system viral diseases|central nervous system diseases,Myelitis,,,,central nervous system infections|central nervous system viral diseases|central nervous system diseases
hematologic diseases,Myelodysplastic Syndromes,Other Targeted Small Molecules,Targeted Small Molecules,Myelodysplastic Syndrome,hematologic diseases
hematologic diseases,Myelodysplastic-Myeloproliferative Diseases,Other Targeted Small Molecules,Targeted Small Molecules,Myelodysplastic Syndrome,hematologic diseases
hematologic diseases,Myeloproliferative Disorders,Other Targeted Small Molecules,Targeted Small Molecules,Myelodysplastic Syndrome,hematologic diseases
heart diseases|vascular diseases,Myocardial Infarction,Anti-platelets,Thrombosis,myocardial infarction ,heart diseases|vascular diseases
heart diseases|vascular diseases,Myocardial Ischemia,Anti-platelets,Thrombosis,myocardial infarction ,heart diseases|vascular diseases
central nervous system diseases|neurologic manifestations|signs and symptoms,Myoclonus,,,,central nervous system diseases|neurologic manifestations|signs and symptoms
neoplasms by histologic type,Myosarcoma,,,,neoplasms by histologic type
muscular diseases|neuromuscular diseases,Myositis,,,,muscular diseases|neuromuscular diseases
neoplasms by histologic type|connective tissue diseases,Myxoma,,,,neoplasms by histologic type|connective tissue diseases
skin diseases,Nail Diseases,,,,skin diseases
pharyngeal diseases,Nasopharyngeal Diseases,,,,pharyngeal diseases
neoplasms by site|pharyngeal diseases|otorhinolaryngologic neoplasms,Nasopharyngeal Neoplasms,,,,neoplasms by site|pharyngeal diseases|otorhinolaryngologic neoplasms
signs and symptoms,Nausea,,,,signs and symptoms
helminthiasis,Nematode Infections,,,,helminthiasis
neoplastic processes|pathologic processes,Neoplasm Metastasis,,,,neoplastic processes|pathologic processes
neoplasms by histologic type,"Neoplasms, Adipose Tissue",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Basal Cell",,,,neoplasms by histologic type
neoplasms by histologic type|connective tissue diseases,"Neoplasms, Bone Tissue",,,,neoplasms by histologic type|connective tissue diseases
neoplasms by histologic type,"Neoplasms, Complex and Mixed",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Connective and Soft Tissue",,,,neoplasms by histologic type
connective tissue diseases|neoplasms by histologic type,"Neoplasms, Connective Tissue",,,,connective tissue diseases|neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Cystic, Mucinous, and Serous",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Ductal, Lobular, and Medullary",,,,neoplasms by histologic type
"neoplasms, experimental","Neoplasms, Experimental",,,,"neoplasms, experimental"
neoplasms by histologic type|connective tissue diseases,"Neoplasms, Fibroepithelial",,,,neoplasms by histologic type|connective tissue diseases
neoplasms by histologic type|connective tissue diseases,"Neoplasms, Fibrous Tissue",,,,neoplasms by histologic type|connective tissue diseases
neoplasms by histologic type,"Neoplasms, Germ Cell and Embryonal",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Glandular and Epithelial",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Mesothelial",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Muscle Tissue",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Nerve Tissue",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Neuroepithelial",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Plasma Cell",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Squamous Cell",,,,neoplasms by histologic type
neoplasms by histologic type,"Neoplasms, Vascular Tissue",,,,neoplasms by histologic type
pathologic processes,"Neovascularization, Pathologic",,,,pathologic processes
neoplasms by histologic type|nervous system neoplasms|neuromuscular diseases|neoplasms by site,Nerve Sheath Neoplasms,,,,neoplasms by histologic type|nervous system neoplasms|neuromuscular diseases|neoplasms by site
neoplasms by site|nervous system neoplasms,Nervous System Neoplasms,,,,neoplasms by site|nervous system neoplasms
neurologic manifestations|neuromuscular diseases|signs and symptoms,Neuralgia,,,,neurologic manifestations|neuromuscular diseases|signs and symptoms
neurologic manifestations|neuromuscular diseases|signs and symptoms,"Neuralgia, Postherpetic",,,,neurologic manifestations|neuromuscular diseases|signs and symptoms
neurologic manifestations|signs and symptoms,Neurobehavioral Manifestations,,,,neurologic manifestations|signs and symptoms
neoplasms by histologic type,Neuroblastoma,,,,neoplasms by histologic type
"congenital abnormalities|genetic diseases, inborn|skin diseases|neurocutaneous syndromes",Neurocutaneous Syndromes,,,,"congenital abnormalities|genetic diseases, inborn|skin diseases|neurocutaneous syndromes"
neoplasms by histologic type,Neuroectodermal Tumors,,,,neoplasms by histologic type
neoplasms by histologic type,"Neuroectodermal Tumors, Primitive",,,,neoplasms by histologic type
neoplasms by histologic type,"Neuroectodermal Tumors, Primitive, Peripheral",,,,neoplasms by histologic type
neoplasms by histologic type,Neuroendocrine Tumors,,,,neoplasms by histologic type
neoplasms by histologic type|nervous system neoplasms|neuromuscular diseases|neoplasms by site,Neurofibroma,,,,neoplasms by histologic type|nervous system neoplasms|neuromuscular diseases|neoplasms by site
"genetic diseases, inborn|neurodegenerative diseases|neoplasms by histologic type|neoplastic syndromes, hereditary|nervous system neoplasms|neuromuscular diseases|neurocutaneous syndromes",Neurofibromatoses,,,,"genetic diseases, inborn|neurodegenerative diseases|neoplasms by histologic type|neoplastic syndromes, hereditary|nervous system neoplasms|neuromuscular diseases|neurocutaneous syndromes"
"genetic diseases, inborn|neurodegenerative diseases|neoplasms by histologic type|neoplastic syndromes, hereditary|nervous system neoplasms|neuromuscular diseases|neurocutaneous syndromes",Neurofibromatosis 1,,,,"genetic diseases, inborn|neurodegenerative diseases|neoplasms by histologic type|neoplastic syndromes, hereditary|nervous system neoplasms|neuromuscular diseases|neurocutaneous syndromes"
neoplasms by histologic type|connective tissue diseases|nervous system neoplasms|neuromuscular diseases|neoplasms by site,Neurofibrosarcoma,,,,neoplasms by histologic type|connective tissue diseases|nervous system neoplasms|neuromuscular diseases|neoplasms by site
neuromuscular diseases,Neuromuscular Junction Diseases,,,,neuromuscular diseases
neurologic manifestations|signs and symptoms,Neuromuscular Manifestations,,,,neurologic manifestations|signs and symptoms
hematologic diseases,Neutropenia,,,,hematologic diseases
neoplasms by histologic type,Nevi and Melanomas,,,,neoplasms by histologic type
"central nervous system diseases|metabolic diseases|genetic diseases, inborn|lymphatic diseases","Niemann-Pick Disease, Type C",,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn|lymphatic diseases"
"central nervous system diseases|metabolic diseases|genetic diseases, inborn|lymphatic diseases",Niemann-Pick Diseases,,,,"central nervous system diseases|metabolic diseases|genetic diseases, inborn|lymphatic diseases"
nutrition disorders,Nutrition Disorders,,,,nutrition disorders
signs and symptoms|nutrition disorders,Obesity,Obesity Treatments,Obesity,Obesity,signs and symptoms|nutrition disorders
signs and symptoms|nutrition disorders,"Obesity, Morbid",Obesity Treatments,Obesity,Obesity,signs and symptoms|nutrition disorders
anxiety disorders,Obsessive-Compulsive Disorder,Other Psychiatry,Other Psychiatric Disorders,Obsessive Compulsive Disorder,anxiety disorders
ocular hypertension,Ocular Hypertension,,,,ocular hypertension
cranial nerve diseases|ocular motility disorders,Ocular Motility Disorders,,,,cranial nerve diseases|ocular motility disorders
cranial nerve diseases,Olfactory Nerve Diseases,,,,cranial nerve diseases
